timestamp,sensor_temp_main,sensor_temp_backup,setpoint,heater_power_pct,electrical_current,electrical_voltage,aluminum_level_pct,ambient_temp,energy_consumption_kwh,lid_open_pct,production_draw_rate
2026-05-01 00:00:00,696.428,693.8,700.0,47.734,57.492,440.282,82.0,20.015,0.72428,1.808,0.0
2026-05-01 00:01:00,696.268,693.79,700.004,47.734,57.492,440.541,81.996,18.73,0.74807,0.634,0.0
2026-05-01 00:02:00,696.114,693.78,700.009,45.622,55.593,441.401,82.041,18.984,0.71335,1.216,0.0
2026-05-01 00:03:00,695.99,693.758,700.013,47.724,56.809,439.804,82.03,19.478,0.71787,1.873,0.0
2026-05-01 00:04:00,695.817,693.733,700.017,46.657,57.217,441.053,82.015,19.272,0.73566,2.945,0.0
2026-05-01 00:05:00,695.656,693.679,700.022,46.425,58.658,438.824,82.01,19.183,0.73931,1.996,0.0
2026-05-01 00:06:00,695.525,693.634,700.026,49.326,60.857,440.111,82.021,18.568,0.7833,0.816,0.0
2026-05-01 00:07:00,695.414,693.576,700.031,50.863,58.587,439.872,82.15,19.393,0.73722,1.666,0.0
2026-05-01 00:08:00,695.253,693.535,700.035,50.0,60.498,438.132,82.177,18.986,0.76302,3.175,0.0
2026-05-01 00:09:00,695.076,693.473,700.039,48.229,56.234,439.57,82.151,19.287,0.69549,3.081,0.0
2026-05-01 00:10:00,694.96,693.388,700.044,51.2,59.976,441.99,82.18,18.553,0.75879,2.969,0.0
2026-05-01 00:11:00,694.816,693.317,700.048,49.912,58.892,441.561,82.187,19.149,0.74449,2.942,0.0
2026-05-01 00:12:00,694.682,693.247,700.052,50.914,59.109,441.421,82.192,18.301,0.75188,1.56,0.0
2026-05-01 00:13:00,694.544,693.17,700.057,49.308,60.046,439.941,82.236,18.661,0.75034,2.206,0.0
2026-05-01 00:14:00,694.451,693.097,700.061,50.878,61.56,440.497,82.313,19.142,0.77857,3.331,0.0
2026-05-01 00:15:00,694.342,693.021,700.065,51.571,61.26,441.539,82.349,18.588,0.78314,1.63,0.0
2026-05-01 00:16:00,694.216,692.94,700.07,50.84,59.556,441.166,82.36,19.58,0.77854,3.077,0.0
2026-05-01 00:17:00,694.086,692.852,700.074,51.722,60.558,440.004,82.383,18.94,0.77689,1.261,0.0
2026-05-01 00:18:00,693.917,692.769,700.078,51.663,60.883,437.948,82.478,18.869,0.76617,2.184,0.0
2026-05-01 00:19:00,693.758,692.689,700.083,50.056,60.455,442.056,82.433,19.177,0.78662,2.732,0.0
2026-05-01 00:20:00,693.623,692.592,700.087,50.801,60.669,441.697,82.442,18.221,0.78735,1.125,0.0
2026-05-01 00:21:00,693.482,692.508,700.092,52.763,64.138,442.082,82.461,19.318,0.80888,0.514,0.0
2026-05-01 00:22:00,693.392,692.404,700.096,54.955,63.273,442.108,82.463,19.411,0.82087,3.207,0.0
2026-05-01 00:23:00,693.237,692.307,700.1,53.911,61.684,445.114,82.515,19.749,0.76571,2.652,0.0
2026-05-01 00:24:00,693.054,692.201,700.105,50.25,61.766,438.026,82.534,19.037,0.78429,2.133,0.0
2026-05-01 00:25:00,692.981,692.095,700.109,53.545,63.104,440.767,82.532,19.051,0.81361,1.813,0.0
2026-05-01 00:26:00,692.802,691.983,700.113,54.013,61.811,443.424,82.541,18.181,0.78879,1.867,0.0
2026-05-01 00:27:00,692.625,691.88,700.118,50.373,60.357,443.763,82.641,18.881,0.77231,1.702,0.0
2026-05-01 00:28:00,692.56,691.755,700.122,55.14,64.133,441.266,82.625,19.436,0.81163,2.704,0.0
2026-05-01 00:29:00,692.407,691.64,700.126,56.12,64.816,442.786,82.654,19.904,0.83753,3.384,0.0
2026-05-01 00:30:00,692.206,691.519,700.131,52.429,62.3,440.578,82.623,18.497,0.7887,2.086,0.0
2026-05-01 00:31:00,692.061,691.416,700.135,54.935,62.979,440.972,82.621,18.93,0.82383,2.252,0.0
2026-05-01 00:32:00,691.907,691.303,700.139,53.768,62.144,440.698,82.641,19.091,0.80267,2.555,0.0
2026-05-01 00:33:00,691.746,691.189,700.143,52.273,60.912,440.083,82.577,19.368,0.76694,1.056,0.0
2026-05-01 00:34:00,691.643,691.07,700.148,54.0,62.657,442.76,82.544,19.224,0.81174,1.195,0.0
2026-05-01 00:35:00,691.502,690.942,700.152,55.31,66.427,442.358,82.587,18.806,0.8541,2.931,0.0
2026-05-01 00:36:00,691.37,690.82,700.156,55.358,64.366,441.14,82.571,18.783,0.83412,0.996,0.0
2026-05-01 00:37:00,691.257,690.705,700.161,55.413,64.982,437.744,82.58,18.266,0.82835,3.036,0.0
2026-05-01 00:38:00,691.136,690.586,700.165,54.891,64.223,438.993,82.587,18.465,0.8257,1.442,0.0
2026-05-01 00:39:00,691.008,690.461,700.169,55.008,63.513,443.518,82.562,19.386,0.80629,3.05,0.0
2026-05-01 00:40:00,,690.331,700.174,55.666,64.437,442.61,82.508,19.506,0.81489,2.943,0.0
2026-05-01 00:41:00,,690.208,700.178,55.528,63.417,441.166,82.494,19.203,0.793,1.58,0.0
2026-05-01 00:42:00,,690.08,700.182,54.496,61.729,444.859,82.458,19.317,0.81827,2.218,0.0
2026-05-01 00:43:00,,689.954,700.187,55.631,65.127,440.953,82.432,19.334,0.82032,1.487,0.0
2026-05-01 00:44:00,,689.838,700.191,56.91,68.709,439.844,82.498,18.981,0.86431,1.111,0.0
2026-05-01 00:45:00,,689.72,700.195,57.879,65.824,441.41,82.547,18.985,0.83868,1.514,0.0
2026-05-01 00:46:00,,689.595,700.199,56.24,65.12,441.616,82.586,18.995,0.82938,2.306,0.0
2026-05-01 00:47:00,,689.476,700.204,57.413,65.681,444.882,82.604,18.878,0.83305,1.37,0.0
2026-05-01 00:48:00,,689.348,700.208,57.502,67.156,440.591,82.624,19.426,0.85491,2.699,0.0
2026-05-01 00:49:00,689.946,689.228,700.212,56.215,67.082,443.89,82.61,19.092,0.859,3.671,0.0
2026-05-01 00:50:00,689.847,689.113,700.216,55.049,63.601,441.58,82.582,18.857,0.80481,1.026,0.0
2026-05-01 00:51:00,689.763,689.0,700.221,57.284,64.584,443.258,82.601,19.355,0.82548,3.217,0.0
2026-05-01 00:52:00,689.658,688.894,700.225,57.1,66.19,441.536,82.568,19.058,0.85522,2.769,0.0
2026-05-01 00:53:00,689.532,688.78,700.229,55.766,65.55,440.696,82.551,19.155,0.83557,0.52,0.0
2026-05-01 00:54:00,689.489,688.677,700.233,59.03,65.996,439.245,82.577,18.301,0.82939,2.031,0.0
2026-05-01 00:55:00,689.37,688.565,700.238,58.724,69.534,438.503,82.678,19.269,0.8858,1.974,0.0
2026-05-01 00:56:00,689.237,688.447,700.242,58.209,67.187,441.895,82.651,19.113,0.86714,1.607,0.0
2026-05-01 00:57:00,689.144,688.337,700.246,58.767,65.329,441.727,82.65,19.921,0.83691,1.316,0.0
2026-05-01 00:58:00,689.069,688.225,700.25,57.724,66.969,440.743,82.62,19.128,0.84429,2.548,0.0
2026-05-01 00:59:00,688.985,688.113,700.255,58.818,69.325,440.05,82.572,18.842,0.88431,1.384,0.0
2026-05-01 01:00:00,688.886,688.012,700.259,57.122,68.151,442.885,82.57,19.22,0.87541,1.551,0.0
2026-05-01 01:01:00,688.788,687.907,700.263,60.585,68.084,441.215,82.525,18.493,0.86314,2.758,0.0
2026-05-01 01:02:00,688.703,687.806,700.267,60.369,70.072,441.559,82.531,19.399,0.90965,2.34,0.0
